date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-09-12 00:00:00,5.5788,0.036123544,-1,0,0,1.057079646,0.167258897
2024-09-13 00:00:00,5.7764,0.035419804,-1,0,0,1.129941003,0.167258897
2024-09-14 00:00:00,5.672,-0.018073541,-1,0,0,1.091445428,0.167258897
2024-09-15 00:00:00,5.5526,-0.021050776,-1,0,0,1.047418879,0.167258897
2024-09-16 00:00:00,5.4845,-0.012264525,-1,0,0,1.02230826,0.167258897
2024-09-17 00:00:00,5.5198,0.006436321,-1,0,0,1.035324484,0.167258897
2024-09-18 00:00:00,5.6389,0.021576869,-1,0,0,1.079240413,0.167258897
2024-09-19 00:00:00,5.68,0.007288656,-1,0,0,1.09439528,0.167258897
2024-09-20 00:00:00,5.5826,-0.017147887,-1,0,0,1.058480826,0.167258897
2024-09-21 00:00:00,5.6723,0.016067782,-1,0,0,1.091556047,0.167258897
2024-09-22 00:00:00,5.6194,-0.009326023,-1,0,0,1.072050147,0.167258897
2024-09-23 00:00:00,5.6379,0.003292166,-1,0,0,1.078871681,0.167258897
2024-09-24 00:00:00,5.6151,-0.004044059,-1,0,0,1.070464602,0.167258897
2024-09-25 00:00:00,5.7351,0.021370946,0,0.5,0,1.114712389,0.167258897
2024-09-26 00:00:00,5.7886,0.009328521,0,0.5,0.00466426,1.134439528,0.172703296
2024-09-27 00:00:00,5.9763,0.032425802,0,0.5,0.016212901,1.203650442,0.191716219
2024-09-28 00:00:00,5.88,-0.016113649,0,0.5,-0.008056824,1.168141593,0.182114771
2024-09-29 00:00:00,5.8427,-0.006343537,0,0.5,-0.003171769,1.154387906,0.178365376
2024-09-30 00:00:00,5.7056,-0.023465179,0,0.5,-0.011732589,1.103834808,0.164540099
2024-10-01 00:00:00,5.3722,-0.058433819,0,0.5,-0.02921691,0.980899705,0.130515836
2024-10-02 00:00:00,5.288,-0.015673281,0,0.5,-0.00783664,0.949852507,0.12165639
2024-10-03 00:00:00,5.33,0.007942511,0,0.5,0.003971256,0.965339233,0.126110774
2024-10-04 00:00:00,5.3967,0.012514071,0,0.5,0.006257036,0.989933628,0.133156889
2024-10-05 00:00:00,5.2319,-0.03053718,0,0.5,-0.01526859,0.929166667,0.115855181
2024-10-06 00:00:00,5.3127,0.01544372,0,0.5,0.00772186,0.958960177,0.124471659
2024-10-07 00:00:00,5.1931,-0.022512094,0,0.5,-0.011256047,0.914859882,0.111814553
