date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
5/10/2024,60778.1,2908.85,145.966,-0.036034836,-0.041486119,-0.042588499,0,0,0,0,0,0,0,0,0,0,4.105606
5/11/2024,60809.2,2911.27,145.355,0.000511697,0.000831944,-0.004185906,0,0,0,0,0,0,0,0,0,0,4.105606
5/12/2024,61455.8,2927.73,143.364,0.010633259,0.00565389,-0.013697499,0,0,0,0,0,0,0,0,0,0,4.105606
5/13/2024,62912.1,2949.71,147.496,0.023696706,0.007507523,0.02882174,0,0,1,0,0,0.229157632,0,0,0,0,4.105606
5/14/2024,61550.5,2880.87,141.963,-0.021642895,-0.023337887,-0.037512882,0,0,0,0,0,0,0,0,-0.008596363,-0.008596,4.061718
5/15/2024,66175.4,3030.66,158.423,0.075139926,0.05199471,0.115945704,1,0,1,0.183278983,0,0.115832457,0,0,0,0,4.061718
5/16/2024,65217.7,2943.22,159.303,-0.014472145,-0.028851801,0.005554749,1,0,1,0.18237394,0,0.116315431,-0.00265244,0,0.00064342,-0.002009,4.051549
5/17/2024,66980,3090.48,169.351,0.027021805,0.050033637,0.063074769,1,1,1,0.124534097,0.132509038,0.076605646,0.004928073,0,0.007336569,0.012265,4.113506
5/18/2024,66884.9,3121.59,172.299,-0.001419827,0.010066397,0.017407633,1,1,1,0.12757693,0.13442615,0.079753813,-0.000176817,0.001333889,0.001333523,0.002491,4.126244
5/19/2024,66239.4,3069.98,169.853,-0.009650908,-0.016533241,-0.014196252,1,1,1,0.127224901,0.133450097,0.079439725,-0.001231233,-0.0022225,-0.001132205,-0.004586,4.102735
