date,close,open,signal,position,asset_return,signal_return
2021-07-27,39442.33,37218.09,0.0,0.5,0.05976233600380909,0.029881168001904546
2021-07-28,40003.08,39448.06,0.0,0.5,0.014216959292212117,0.007108479646106058
2021-07-29,40012.9,40003.08,0.0,0.5,0.0002454810979555244,0.0001227405489777622
2021-07-30,42203.25,40012.89,0.0,0.5,0.05474109599654109,0.027370547998270545
2021-07-31,41448.11,42202.6,0.0,0.5,-0.017892934785828096,-0.008946467392914048
2021-08-01,39846.78,41448.1,0.0,0.5,-0.03863457223984401,-0.019317286119922006
2021-08-02,39147.48,39846.78,0.0,0.5,-0.017549724218619334,-0.008774862109309667
2021-08-03,38203.26,39147.47,0.0,0.5,-0.02411956018624961,-0.012059780093124806
2021-08-04,39731.31,38201.33,0.0,0.5,0.0399978954675595,0.01999894773377975
2021-08-05,40882.4,39731.31,0.0,0.5,0.02897186123488016,0.01448593061744008
2021-08-06,42825.43,40882.39,0.0,0.5,0.047527297810304736,0.023763648905152368
2021-08-07,44601.11,42825.43,0.0,0.5,0.041463214730126374,0.020731607365063187
2021-08-08,43787.71,44601.11,0.0,0.5,-0.01823721427560887,-0.009118607137804435
2021-08-09,46259.7,43787.71,0.0,0.5,0.056453968476542826,0.028226984238271413
2021-08-10,45589.99,46259.7,0.0,0.5,-0.014477179921184025,-0.007238589960592012
2021-08-11,45522.12,45589.99,0.0,0.5,-0.0014887039896256393,-0.0007443519948128197
2021-08-12,44385.09,45522.13,0.0,0.5,-0.024977527408653333,-0.012488763704326666
2021-08-13,47792.52,44385.09,0.0,0.5,0.0767696990137905,0.03838484950689525
2021-08-14,47083.74,47792.52,0.0,0.5,-0.014830354206055607,-0.0074151771030278035
2021-08-15,47006.02,47083.75,0.0,0.5,-0.001650676008320473,-0.0008253380041602365
2021-08-16,45926.23,47006.02,0.0,0.5,-0.022971313036074803,-0.011485656518037402
2021-08-17,44704.84,45926.23,0.0,0.5,-0.02659460617603504,-0.01329730308801752
2021-08-18,44714.09,44704.85,0.0,0.5,0.00020691271907025133,0.00010345635953512566
2021-08-19,46772.0,44714.09,0.0,0.5,0.046023747771675616,0.023011873885837808
2021-08-20,49332.74,46772.0,0.0,0.5,0.054749422731548814,0.027374711365774407
2021-08-21,48848.29,49332.99,0.0,0.5,-0.00982005053844559,-0.004910025269222795
2021-08-22,49273.28,48846.11,0.0,0.5,0.008700202197456708,0.004350101098728354
2021-08-23,49523.91,49273.28,1.0,1.0,0.005086529656641581,0.0025432648283207904
2021-08-24,47719.36,49523.23,0.0,0.5,-0.03643795491914925,-0.03643795491914925
2021-08-25,48992.65,47719.37,0.0,0.5,0.026682880910389395,0.013341440455194697
2021-08-26,46853.06,48992.65,0.0,0.5,-0.04367165278873475,-0.021835826394367375
2021-08-27,49083.98,46854.22,0.0,0.5,0.047615246474830064,0.023807623237415032
2021-08-28,48931.99,49082.13,0.0,0.5,-0.003096529662020231,-0.0015482648310101155
2021-08-29,48795.41,48931.99,0.0,0.5,-0.002791221039651015,-0.0013956105198255075
2021-08-30,47024.7,48795.42,0.0,0.5,-0.036288454180424035,-0.018144227090212017
2021-08-31,47150.32,47024.69,0.0,0.5,0.0026713620714220454,0.0013356810357110227
2021-09-01,48842.94,47150.32,0.0,0.5,0.03589837778407445,0.017949188892037227
2021-09-02,49299.14,48842.93,0.0,0.5,0.009340142096278425,0.004670071048139213
2021-09-03,50027.08,49299.14,0.0,0.5,0.014765774818789934,0.007382887409394967
2021-09-04,49940.74,50027.09,0.0,0.5,-0.001725865271369087,-0.0008629326356845435
2021-09-05,51799.57,49942.2,0.0,0.5,0.0372207139902212,0.0186103569951106
2021-09-06,52683.97,51799.56,0.0,0.5,0.01707350080319192,0.00853675040159596
2021-09-07,46864.39,52683.98,0.0,0.5,-0.11046206274887793,-0.055231031374438966
2021-09-08,46062.29,46864.38,-1.0,0.0,-0.01711534066697551,-0.008557670333487755
2021-09-09,46413.88,46060.02,0.0,0.5,0.007632924893660187,0.0
2021-09-10,44860.83,46413.88,-1.0,0.0,-0.03346089574928868,-0.01673044787464434
2021-09-11,45193.78,44860.83,0.0,0.5,0.007421842172781856,0.0
2021-09-12,46046.73,45194.19,-1.0,0.0,0.01887317237018027,0.009436586185090134
2021-09-13,44975.96,46048.02,-1.0,0.0,-0.02325398567933068,-0.0
2021-09-14,47087.18,44975.96,1.0,1.0,0.046941076966450446,0.0
2021-09-15,48106.12,47087.18,1.0,1.0,0.021639435617083036,0.021639435617083036
2021-09-16,47745.55,48106.13,1.0,1.0,-0.00749530413178201,-0.00749530413178201
2021-09-17,47303.11,47745.55,1.0,1.0,-0.009266622753324683,-0.009266622753324683
2021-09-18,48285.15,47303.11,1.0,1.0,0.020760580012603835,0.020760580012603835
2021-09-19,47256.91,48284.61,0.0,0.5,-0.02129516010616095,-0.02129516010616095
2021-09-20,43026.6,47256.92,0.0,0.5,-0.08951727906035334,-0.04475863953017667
2021-09-21,40726.1,43026.61,0.0,0.5,-0.05346692511144269,-0.026733462555721343
2021-09-22,43520.0,40727.83,0.0,0.5,0.06860219859009331,0.034301099295046655
2021-09-23,44828.29,43520.0,0.0,0.5,0.03006181066176472,0.01503090533088236
2021-09-24,42798.49,44828.29,0.0,0.5,-0.04527944295889941,-0.022639721479449704
2021-09-25,42651.58,42798.49,0.0,0.5,-0.003432597738845411,-0.0017162988694227055
2021-09-26,43150.0,42646.84,0.0,0.5,0.01168585079380402,0.00584292539690201
2021-09-27,42122.69,43150.01,0.0,0.5,-0.02380787949015062,-0.01190393974507531
2021-09-28,41006.32,42122.69,0.0,0.5,-0.02650281831478485,-0.013251409157392424
2021-09-29,41499.71,41002.96,0.0,0.5,0.012032047742884577,0.006016023871442289
2021-09-30,43796.57,41499.7,0.0,0.5,0.055346410854437256,0.027673205427218628
2021-10-01,48123.94,43799.49,0.0,0.5,0.09880613938488803,0.04940306969244401
2021-10-02,47626.61,48123.93,0.0,0.5,-0.010334357494419688,-0.005167178747209844
2021-10-03,48187.3,47626.62,0.0,0.5,0.011772620390155808,0.005886310195077904
2021-10-04,49198.22,48187.99,0.0,0.5,0.020978971637755084,0.010489485818877542
2021-10-05,51455.12,49199.78,0.0,0.5,0.045873610874539894,0.022936805437269947
